City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Norman Wells,CA,65.28,-126.83,57.2,93,75,3.36,07/16/20
Rikitea,PF,-23.12,-134.97,73.6,87,100,2.82,07/16/20
Mataura,NZ,-46.19,168.86,34.5,94,7,2.39,07/16/20
Umm Kaddadah,SD,13.6,26.69,84.27,50,99,13.49,07/16/20
Upernavik,GL,72.79,-56.15,42.8,86,95,1.36,07/16/20
Husavik,IS,66.04,-17.34,53.6,76,75,6.93,07/16/20
Camocim,BR,-2.9,-40.84,74.53,87,85,12.71,07/16/20
Lompoc,US,34.64,-120.46,57.2,87,6,3.36,07/16/20
Altamira,BR,-3.2,-52.21,69.85,97,5,2.62,07/16/20
Cetraro,IT,39.52,15.94,82.0,45,0,3.0,07/16/20
Mahébourg,MU,-20.41,57.7,75.2,64,40,11.41,07/16/20
Arnedo,ES,42.22,-2.1,64.4,67,20,12.75,07/16/20
San Quintín,MX,30.48,-115.95,65.52,88,13,11.65,07/16/20
Cape Town,ZA,-33.93,18.42,52.0,87,0,3.36,07/16/20
Jamestown,US,42.1,-79.24,71.01,68,1,10.29,07/16/20
Puerto Ayora,EC,-0.74,-90.35,66.0,92,13,4.81,07/16/20
Ribeira Grande,PT,38.52,-28.7,69.8,77,75,9.17,07/16/20
Kapaa,US,22.08,-159.32,78.8,78,90,14.99,07/16/20
North Bend,US,43.41,-124.22,59.0,100,75,13.87,07/16/20
Inuvik,CA,68.35,-133.72,55.4,71,75,9.17,07/16/20
Pevek,RU,69.7,170.31,48.11,91,100,1.72,07/16/20
Vaini,TO,-21.2,-175.2,75.2,83,75,6.93,07/16/20
Oktyabr'skoye,RU,43.06,44.74,80.6,54,20,6.71,07/16/20
Namatanai,PG,-3.67,152.43,81.01,79,17,6.58,07/16/20
Hambantota,LK,6.12,81.12,86.0,79,75,19.46,07/16/20
Tasiilaq,GL,65.61,-37.64,44.6,70,0,5.82,07/16/20
Atuona,PF,-9.8,-139.03,79.38,79,12,18.57,07/16/20
Rio Claro,BR,-22.41,-47.56,52.14,94,1,3.6,07/16/20
Ushuaia,AR,-54.8,-68.3,28.4,86,40,4.7,07/16/20
Alenquer,BR,-1.94,-54.74,75.2,94,19,4.7,07/16/20
Bandar-e Lengeh,IR,26.56,54.88,100.4,50,0,13.87,07/16/20
Hithadhoo,MV,-0.6,73.08,83.88,71,100,2.42,07/16/20
Millinocket,US,45.66,-68.71,48.2,93,1,2.42,07/16/20
Touros,BR,-5.2,-35.46,69.8,100,20,4.7,07/16/20
Bisira,PA,8.52,-81.71,58.42,100,76,6.4,07/16/20
Tiksi,RU,71.69,128.87,36.66,83,15,20.2,07/16/20
Methóni,GR,36.82,21.7,82.4,39,0,12.75,07/16/20
Kutina,HR,45.48,16.78,62.6,82,92,2.77,07/16/20
Shimokizukuri,JP,40.81,140.39,72.0,68,75,8.05,07/16/20
Busselton,AU,-33.65,115.33,59.0,85,97,1.01,07/16/20
General Roca,AR,-39.03,-67.58,39.2,86,100,3.36,07/16/20
Saldanha,ZA,-33.01,17.94,44.6,75,0,1.12,07/16/20
Avarua,CK,-21.21,-159.78,69.8,73,51,4.7,07/16/20
Apache Junction,US,33.42,-111.55,93.2,27,1,9.17,07/16/20
East London,ZA,-33.02,27.91,53.6,29,0,9.17,07/16/20
Jacmel,HT,18.23,-72.53,77.0,94,3,6.93,07/16/20
Maroantsetra,MG,-15.43,49.73,73.11,76,28,6.55,07/16/20
Arraial do Cabo,BR,-22.97,-42.03,66.24,73,97,3.13,07/16/20
Uvarovo,RU,51.98,42.26,67.73,56,0,13.31,07/16/20
Bluff,NZ,-46.6,168.33,42.76,82,43,13.85,07/16/20
Albany,US,42.6,-73.97,73.4,69,90,12.75,07/16/20
Onega,RU,63.91,38.14,55.22,61,100,9.46,07/16/20
Omboué,GA,-1.57,9.26,76.51,74,71,4.76,07/16/20
Dikson,RU,73.51,80.55,40.51,93,90,4.76,07/16/20
Dachnoye,RU,43.08,44.74,80.6,54,20,6.71,07/16/20
Sarangani,PH,5.4,125.46,83.5,80,31,18.84,07/16/20
Ratnapura,LK,6.68,80.4,83.19,72,100,5.77,07/16/20
Nouadhibou,MR,20.93,-17.03,69.8,88,75,6.93,07/16/20
New Norfolk,AU,-42.78,147.06,45.0,93,40,0.98,07/16/20
Krutikha,RU,53.96,81.21,79.57,48,0,8.23,07/16/20
Punta Arenas,CL,-53.15,-70.92,28.4,92,5,4.7,07/16/20
Ambon City,ID,-3.7,128.18,78.53,86,91,14.16,07/16/20
Gornopravdinsk,RU,60.05,69.9,92.86,41,29,7.74,07/16/20
Dovolnoye,RU,54.5,79.67,78.69,51,0,6.06,07/16/20
Tuktoyaktuk,CA,69.45,-133.04,43.47,74,100,11.21,07/16/20
Vila Franca do Campo,PT,37.72,-25.43,64.4,88,75,10.29,07/16/20
Vista Hermosa,MX,19.52,-99.22,64.4,68,5,5.82,07/16/20
Ocós,GT,14.51,-92.19,77.88,81,88,6.31,07/16/20
Port Lincoln,AU,-34.73,135.87,54.88,81,4,8.52,07/16/20
Yellowknife,CA,62.46,-114.35,54.0,81,20,4.7,07/16/20
Khatanga,RU,71.97,102.5,48.52,92,100,11.9,07/16/20
Guerrero Negro,MX,27.98,-114.06,66.43,85,0,12.39,07/16/20
Nome,US,64.5,-165.41,51.8,81,90,5.82,07/16/20
Fortuna,US,40.6,-124.16,54.0,87,90,0.36,07/16/20
Bandarbeyla,SO,9.49,50.81,91.58,40,38,33.8,07/16/20
Maţāy,EG,28.42,30.78,88.45,28,0,15.61,07/16/20
Saint George,US,37.1,-113.58,87.8,16,1,4.7,07/16/20
Inhambane,MZ,-23.86,35.38,69.8,49,40,9.17,07/16/20
Le Port,RE,-20.94,55.29,77.0,61,27,18.34,07/16/20
Northam,GB,51.03,-4.22,61.0,93,95,5.99,07/16/20
Talnakh,RU,69.49,88.4,53.6,71,75,15.66,07/16/20
San Cristobal,VE,7.77,-72.22,64.04,90,93,2.35,07/16/20
Vilcún,CL,-38.65,-72.23,41.0,100,90,3.36,07/16/20
Hilo,US,19.73,-155.09,77.0,78,90,3.94,07/16/20
Saint-Pierre,RE,-21.34,55.48,77.0,65,5,17.22,07/16/20
Bredasdorp,ZA,-34.53,20.04,46.4,87,0,1.12,07/16/20
Felanitx,ES,39.47,3.15,77.0,73,40,2.24,07/16/20
Alice Springs,AU,-23.7,133.88,66.2,24,0,10.29,07/16/20
Chokurdakh,RU,70.63,147.92,37.44,93,100,10.71,07/16/20
Areosa,PT,41.72,-8.86,78.8,41,29,9.17,07/16/20
Camacupa,AO,-12.02,17.48,59.7,30,0,9.48,07/16/20
Korla,CN,41.76,86.15,91.62,16,2,4.99,07/16/20
Kenai,US,60.55,-151.26,64.4,72,1,5.82,07/16/20
Vercelli,IT,45.32,8.42,71.01,77,20,3.36,07/16/20
Lakes Entrance,AU,-37.88,147.98,50.0,92,38,5.53,07/16/20
Innisfail,AU,-17.53,146.03,63.01,66,0,5.57,07/16/20
Olafsvik,IS,64.89,-23.71,50.97,92,100,12.5,07/16/20
Acaraú,BR,-2.89,-40.12,75.24,83,59,13.33,07/16/20
Vigrestad,NO,58.57,5.7,60.01,82,35,3.0,07/16/20
Ancud,CL,-41.87,-73.82,46.4,100,90,3.36,07/16/20
Verín,ES,41.94,-7.44,64.99,78,28,3.47,07/16/20
Kloulklubed,PW,7.04,134.26,86.0,66,75,9.17,07/16/20
Inírida,CO,3.87,-67.92,71.44,98,30,1.61,07/16/20
San Andrés,CO,12.58,-81.7,82.4,83,40,11.41,07/16/20
Port Blair,IN,11.67,92.75,83.53,79,100,10.92,07/16/20
Shenzhen,CN,22.55,114.07,93.0,75,20,20.13,07/16/20
Zeya,RU,53.75,127.27,91.31,38,0,2.21,07/16/20
Bambous Virieux,MU,-20.34,57.76,75.2,64,40,11.41,07/16/20
Barrow,US,71.29,-156.79,37.4,86,90,8.05,07/16/20
Slave Lake,CA,55.28,-114.77,59.0,82,75,3.36,07/16/20
Gainesville,US,29.65,-82.32,72.0,100,1,1.43,07/16/20
Nantucket,US,41.28,-70.1,60.8,87,1,9.17,07/16/20
Cumbum,IN,9.73,77.3,84.07,58,96,11.61,07/16/20
Longyearbyen,SJ,78.22,15.64,42.8,87,75,3.36,07/16/20
Issia,CI,6.49,-6.59,70.23,83,98,4.23,07/16/20
Gamba,GA,-2.65,10.0,75.15,76,35,3.62,07/16/20
Carnarvon,AU,-24.87,113.63,75.2,83,90,10.29,07/16/20
Fort Myers Beach,US,26.45,-81.95,75.99,94,1,7.58,07/16/20
Nador,MA,35.17,-2.93,75.2,83,90,9.17,07/16/20
Navsari,IN,20.95,72.93,88.36,66,55,5.1,07/16/20
Tegul'det,RU,57.31,88.17,72.84,59,82,9.53,07/16/20
Auxerre,FR,47.8,3.57,63.0,91,72,5.79,07/16/20
Mackay,AU,-21.15,149.2,64.51,58,0,8.93,07/16/20
George Town,MY,5.41,100.34,87.8,66,40,9.17,07/16/20
Griffith,US,41.53,-87.42,69.8,100,90,11.41,07/16/20
Tiznit Province,MA,29.58,-9.5,88.32,31,0,3.04,07/16/20
Ushtobe,KZ,45.25,77.98,97.65,14,0,4.83,07/16/20
Santa Helena de Goiás,BR,-17.81,-50.6,64.6,53,0,0.47,07/16/20
Atlantic City,US,39.36,-74.42,71.6,78,75,10.92,07/16/20
Iqaluit,CA,63.75,-68.51,44.6,75,20,2.24,07/16/20
Ojinaga,MX,29.57,-104.42,87.8,25,1,9.17,07/16/20
Butaritari,KI,3.07,172.79,83.5,64,100,6.64,07/16/20
Asău,RO,46.43,26.4,71.6,64,20,5.82,07/16/20
Sinnamary,GF,5.38,-52.95,75.33,91,14,6.78,07/16/20
Nanortalik,GL,60.14,-45.24,42.8,85,83,9.57,07/16/20
Falam,MM,22.92,93.68,74.52,85,100,0.87,07/16/20
Nambour,AU,-26.63,152.95,62.01,49,0,4.54,07/16/20
São José da Coroa Grande,BR,-8.9,-35.15,74.43,84,17,10.16,07/16/20
Richards Bay,ZA,-28.78,32.04,63.84,51,0,4.94,07/16/20
Arrondissement de Vierzon,FR,47.21,2.06,62.6,77,90,3.36,07/16/20
Vulcan,RO,45.38,23.27,66.96,67,4,2.39,07/16/20
Lata,PT,40.16,-8.33,87.01,34,0,5.86,07/16/20
Beisfjord,NO,68.38,17.6,59.0,82,75,6.93,07/16/20
College,US,64.86,-147.8,64.4,72,75,6.93,07/16/20
Saskylakh,RU,71.92,114.08,67.5,32,100,23.82,07/16/20
Rocha,UY,-34.48,-54.33,36.75,82,0,5.53,07/16/20
Mar del Plata,AR,-38.0,-57.56,46.0,80,100,3.36,07/16/20
Arlit,NE,18.74,7.39,94.06,23,0,16.98,07/16/20
Laguna,US,38.42,-121.42,66.0,68,1,5.82,07/16/20
Hatta,IN,24.12,79.6,93.15,50,72,6.89,07/16/20
Hofn,IS,64.25,-15.21,52.97,85,98,24.79,07/16/20
Cururupu,BR,-1.83,-44.87,74.23,94,34,3.53,07/16/20
Thompson,CA,55.74,-97.86,57.2,93,75,9.17,07/16/20
Poum,NC,-20.23,164.02,70.65,63,7,14.32,07/16/20
Urusha,RU,54.05,122.9,86.79,38,98,2.89,07/16/20
Almaznyy,RU,48.04,40.05,78.8,31,0,4.47,07/16/20
Saint-Philippe,RE,-21.36,55.77,77.0,65,0,17.22,07/16/20
Tam Ky,VN,15.57,108.48,93.2,52,20,8.05,07/16/20
Cidreira,BR,-30.18,-50.21,52.16,70,0,13.47,07/16/20
Turinskaya Sloboda,RU,57.62,64.39,90.14,47,23,9.91,07/16/20
Salalah,OM,17.02,54.09,84.2,83,90,3.36,07/16/20
Rawson,AR,-43.3,-65.1,44.19,82,100,6.2,07/16/20
Chase,CA,50.82,-119.69,64.0,91,60,2.84,07/16/20
Castro,BR,-24.79,-50.01,43.93,96,13,4.52,07/16/20
Berdigestyakh,RU,62.1,126.7,84.38,36,98,1.14,07/16/20
Hermanus,ZA,-34.42,19.23,48.99,76,0,3.0,07/16/20
Tromsø,NO,69.65,18.96,59.0,82,75,11.41,07/16/20
San Vicente,AR,-26.62,-54.13,56.84,92,73,2.06,07/16/20
Viranşehir,TR,37.24,39.76,101.75,10,0,7.31,07/16/20
Port Alfred,ZA,-33.59,26.89,61.12,31,0,4.79,07/16/20
Belmonte,BR,-15.86,-38.88,71.6,88,75,3.36,07/16/20
Berlevåg,NO,70.86,29.09,62.6,72,22,8.05,07/16/20
Cedar City,US,37.68,-113.06,73.4,20,1,3.36,07/16/20
Río Gallegos,AR,-51.62,-69.22,28.4,92,75,3.36,07/16/20
Flinders,AU,-34.58,150.86,59.0,62,81,3.0,07/16/20
San Rafael,AR,-34.62,-68.33,45.5,56,7,4.03,07/16/20
Souillac,MU,-20.52,57.52,75.2,64,40,11.41,07/16/20
Brae,GB,60.4,-1.35,53.6,93,90,9.17,07/16/20
Nambucca Heads,AU,-30.65,153.0,62.6,55,46,17.22,07/16/20
Pacific Grove,US,36.62,-121.92,57.99,87,90,6.93,07/16/20
Saryg-Sep,RU,51.5,95.6,73.89,27,4,8.23,07/16/20
La Santisima Trinidad,BO,-14.83,-64.9,70.27,83,0,2.35,07/16/20
Middleton,GB,53.55,-2.2,59.0,100,90,8.05,07/16/20
Saint Paul Harbor,US,57.79,-152.41,62.6,59,1,8.05,07/16/20
Buenaventura,CO,3.88,-77.03,75.49,92,82,1.54,07/16/20
Kokologo,BF,12.19,-1.89,73.4,100,100,2.24,07/16/20
Bilma,NE,18.69,12.92,93.31,28,19,6.02,07/16/20
Geraldton,AU,-28.77,114.6,68.0,82,75,14.99,07/16/20
Lebu,CL,-37.62,-73.65,48.96,87,0,10.29,07/16/20
Magdagachi,RU,53.45,125.8,91.17,32,21,3.67,07/16/20
Bend,US,44.06,-121.32,66.2,39,1,3.31,07/16/20
São Filipe,CV,14.9,-24.5,75.43,83,16,7.81,07/16/20
Bengkulu,ID,-3.8,102.27,85.35,67,22,7.02,07/16/20
Kitui,KE,-1.37,38.01,68.34,68,97,9.89,07/16/20
Port-Gentil,GA,-0.72,8.78,77.0,83,20,8.46,07/16/20
Sambava,MG,-14.27,50.17,77.07,62,0,14.0,07/16/20
Raja,SS,8.46,25.68,74.21,82,100,2.82,07/16/20
Caborca,MX,30.58,-111.1,86.52,40,100,6.35,07/16/20
Vao,NC,-22.67,167.48,69.76,71,0,18.37,07/16/20
Lavrentiya,RU,65.58,-171.0,47.17,89,52,3.53,07/16/20
Bethel,US,41.37,-73.41,66.99,88,90,5.82,07/16/20
Sibu,MY,2.3,111.82,87.8,66,40,4.7,07/16/20
Kutum,SD,14.2,24.67,78.69,53,100,10.58,07/16/20
Juruti,BR,-2.15,-56.09,74.17,83,0,3.91,07/16/20
Codrington,AU,-38.27,141.97,47.46,85,0,6.53,07/16/20
Kangaatsiaq,GL,68.31,-53.46,41.25,91,100,2.26,07/16/20
Qaanaaq,GL,77.48,-69.36,41.31,85,99,3.83,07/16/20
Øksfjord,NO,70.24,22.35,66.2,72,97,5.82,07/16/20
Puerto Asís,CO,0.51,-76.5,66.87,98,62,2.51,07/16/20
Padang,ID,-0.95,100.35,84.7,72,26,4.34,07/16/20
Pilar,BR,-9.6,-35.96,71.6,94,40,4.7,07/16/20
Arona,ES,28.1,-16.68,69.8,83,20,9.17,07/16/20
Airai,TL,-8.93,125.41,65.75,84,64,3.98,07/16/20
Juliaca,PE,-15.5,-70.13,32.7,73,93,4.29,07/16/20
Chauk,MM,20.88,94.82,96.98,43,100,10.51,07/16/20
Antofagasta,CL,-23.65,-70.4,53.6,87,90,6.93,07/16/20
Mitú,CO,1.2,-70.17,70.12,97,100,1.41,07/16/20
Hay River,CA,60.82,-115.8,50.0,100,20,4.59,07/16/20
Bariloche,AR,-41.15,-71.31,33.8,100,20,4.7,07/16/20
Quixadá,BR,-4.97,-39.02,67.55,89,1,2.04,07/16/20
Kathu,TH,7.92,98.33,89.6,66,20,8.05,07/16/20
Hobart,AU,-42.88,147.33,45.0,93,40,1.77,07/16/20
Nikolskoye,RU,59.7,30.79,69.01,77,75,11.18,07/16/20
Rio Grande,BR,-32.03,-52.1,35.01,98,0,6.93,07/16/20
Bathsheba,BB,13.22,-59.52,80.6,78,20,13.87,07/16/20
Ust-Nera,RU,64.57,143.2,64.8,47,78,7.65,07/16/20
São Gabriel da Cachoeira,BR,-0.13,-67.09,70.39,97,94,0.65,07/16/20
Atar,MR,20.52,-13.05,83.68,45,21,6.76,07/16/20
Araouane,ML,18.9,-3.53,89.24,44,100,10.33,07/16/20
Chishtian,PK,29.8,72.87,110.17,22,34,8.99,07/16/20
Gola Gokarannāth,IN,28.08,80.47,97.3,46,75,8.57,07/16/20
Faanui,PF,-16.48,-151.75,77.95,84,70,14.43,07/16/20
Aklavik,CA,68.22,-135.01,55.4,71,75,9.17,07/16/20
Ixtapa,MX,20.7,-105.2,78.48,82,100,1.88,07/16/20
Tomatlán,MX,19.93,-105.25,76.84,94,100,2.64,07/16/20
Sørland,NO,67.67,12.69,55.4,87,2,11.41,07/16/20
Edgewater,US,28.99,-80.9,75.2,94,40,2.59,07/16/20
Nara,JP,34.69,135.8,84.2,54,75,6.93,07/16/20
Orchard Homes,US,46.86,-114.05,59.0,62,1,4.7,07/16/20
Cocobeach,GA,1.0,9.58,75.2,83,75,9.17,07/16/20
Taitung City,TW,22.76,121.14,91.4,59,40,13.87,07/16/20
Nhulunbuy,AU,-12.23,136.77,80.6,57,25,13.87,07/16/20
Miraí,BR,-21.2,-42.61,61.9,84,99,3.94,07/16/20
Motygino,RU,58.18,94.76,67.46,50,100,10.07,07/16/20
Anadyr,RU,64.75,177.48,59.0,77,37,6.71,07/16/20
Tezu,IN,27.92,96.17,76.42,87,100,2.84,07/16/20
Macamic,CA,48.75,-79.0,64.4,100,90,6.93,07/16/20
Zonguldak,TR,41.25,31.83,73.4,69,75,1.12,07/16/20
Ternate,ID,0.8,127.4,82.72,73,74,1.9,07/16/20
Sitka,US,57.05,-135.33,55.4,93,90,0.89,07/16/20
Constitución,CL,-35.33,-72.42,53.24,87,97,12.24,07/16/20
Grindavik,IS,63.84,-22.43,50.0,100,75,6.93,07/16/20
Bismarck,US,46.81,-100.78,70.0,48,20,4.7,07/16/20
Yārāda,IN,17.65,83.27,86.0,74,75,11.41,07/16/20
Meulaboh,ID,4.14,96.13,85.05,72,60,4.65,07/16/20
Solikamsk,RU,59.62,56.77,88.75,50,48,7.23,07/16/20
Lüderitz,NA,-26.65,15.16,73.4,11,0,21.92,07/16/20
Puerto Rico,AR,-26.8,-55.02,57.81,97,93,2.24,07/16/20
Raudeberg,NO,61.99,5.14,59.0,82,75,10.29,07/16/20
Tefé,BR,-3.35,-64.71,70.75,88,30,0.87,07/16/20
Žagarė,LT,56.36,23.25,69.8,52,0,3.36,07/16/20
Pisco,PE,-13.7,-76.22,60.8,82,90,4.7,07/16/20
Tigil',RU,57.8,158.67,55.06,96,100,5.19,07/16/20
Torbay,CA,47.67,-52.73,50.0,100,90,19.46,07/16/20
Saint-Joseph,RE,-21.37,55.62,77.0,65,1,17.22,07/16/20
Narsaq,GL,60.92,-46.05,46.4,70,96,2.24,07/16/20
Yangi Marg`ilon,UZ,40.43,71.72,93.2,20,56,9.17,07/16/20
Ulverstone,AU,-41.15,146.17,48.47,72,2,2.37,07/16/20
Ayan,RU,56.45,138.17,55.54,93,100,11.18,07/16/20
Ovsyanka,RU,55.96,92.55,69.8,46,50,8.95,07/16/20
Téra,NE,14.01,0.75,82.49,65,50,11.74,07/16/20
Menongue,AO,-14.66,17.69,61.86,28,0,13.94,07/16/20
Setermoen,NO,68.86,18.35,59.0,72,75,14.99,07/16/20
Hong Kong,HK,22.29,114.16,91.99,78,96,4.0,07/16/20
Tairua,NZ,-37.02,175.85,54.0,87,100,15.01,07/16/20
Santa Cruz de la Sierra,BO,-17.8,-63.17,66.2,88,75,6.93,07/16/20
Mayo,US,38.89,-76.51,75.99,88,90,11.41,07/16/20
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,57.2,100,20,8.95,07/16/20
Tual,ID,-5.67,132.75,78.91,86,42,18.68,07/16/20
Aykhal,RU,66.0,111.5,69.8,46,75,11.18,07/16/20
Sangar,RU,63.92,127.47,77.97,40,84,2.42,07/16/20
Black River,JM,18.03,-77.85,82.4,88,20,2.75,07/16/20
Barentu,ER,15.11,37.59,79.27,58,99,7.54,07/16/20
La Penne-sur-Huveaune,FR,43.28,5.52,75.99,42,0,11.23,07/16/20
Bacolod City,PH,10.67,122.95,85.89,72,100,3.42,07/16/20
Port Hedland,AU,-20.32,118.57,77.0,36,0,17.22,07/16/20
Hasaki,JP,35.73,140.83,72.0,78,75,6.93,07/16/20
Senanga,ZM,-16.12,23.27,63.52,43,3,13.85,07/16/20
Mananjary,MG,-21.22,48.33,68.7,83,99,16.67,07/16/20
Pueblo,US,38.25,-104.61,62.6,82,1,6.93,07/16/20
Shetpe,KZ,44.17,52.12,99.3,16,98,10.33,07/16/20
Itarema,BR,-2.92,-39.92,75.02,83,43,12.82,07/16/20
Hirara,JP,24.8,125.28,87.8,74,75,18.34,07/16/20
Lahad Datu,MY,5.03,118.33,78.37,90,100,14.43,07/16/20
Guarapari,BR,-20.67,-40.5,69.01,88,90,12.75,07/16/20
Tabou,CI,4.42,-7.35,74.64,74,100,4.09,07/16/20
Bima,ID,-8.47,118.72,85.57,55,0,3.91,07/16/20
